packet,fixture_dir,config,run,flight_id,anchor_or_build_anchor,exact_head_flown,cohort_build,command,speed_header,terminal_header,commit_speed_actual,commit_speed_expected,terminal_enable_actual,terminal_enable_expected,param_integrity_vs_r1b,gates_passed,finished,wall_time_s,abort_class,collision_abort,clip_budget_abort,abort_phase,abort_reason,failed_gate,env_hits,gate_clips,closest_detection_range_m,closest_detection_phase,closest_detection_mono_ns,closest_detection_x_m,closest_detection_y_m,closest_detection_z_m,approach_phase_duration_s,approach_phase_entries,commit_phase_duration_s,align_phase_duration_s,retreat_phase_duration_s
R1b,20260722T035313-raceprep-r1b-A-run1,A,1,20260722T035253-49b2dfca,e8f46a9,8f260b087e2c3329ba95c22d0c72bf3904ea6799,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,1.800000,True,1.800000,1.800000,True,True,OK,0,False,10.567991,collision,True,False,recover,environment collision (impulse=3.2),1,6,0,2.055896,commit,369051662851400,-0.134588,-0.364931,2.018767,0.100034,1,1.459863,0.319830,0.000000
R1b,20260722T035431-raceprep-r1b-B-run2,B,2,20260722T035407-af44e079,e8f46a9,ea7af544b1d0b061cc3793e9858ce32894165073,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,1.800000,1.800000,False,False,OK,0,False,14.343992,collision,True,False,recover,environment collision (impulse=2.7),1,2,0,1.211627,align,369130669142000,0.025257,-0.927672,0.778991,0.239621,2,0.320177,2.939145,2.019875
R1b,20260722T035542-raceprep-r1b-A-run3,A,3,20260722T035525-49b2dfca,e8f46a9,51de423357ba355273fbab5ce8532d7212bd6acd,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,1.800000,True,1.800000,1.800000,True,True,OK,0,False,7.704002,collision,True,False,align,environment collision (impulse=5.1),1,1,0,0.882971,align,369205296655200,-0.040563,-0.738203,0.482751,0.480148,1,0.099945,1.546280,0.000000
R1b,20260722T035702-raceprep-r1b-B-run4,B,4,20260722T035636-af44e079,e8f46a9,71fea27c012d21ee84191ab703d9db4ed27e43ed,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,1.800000,1.800000,False,False,OK,0,False,15.995997,collision,True,False,approach,environment collision (impulse=8.8),1,17,0,1.486553,align,369282062928500,-0.646632,-1.090290,0.776516,0.642313,3,1.740129,0.679880,2.020036
R1b,20260722T035813-raceprep-r1b-A-run5,A,5,20260722T035756-49b2dfca,e8f46a9,a26bf1de6876e4e6d315a715c1f1b27a008cdfc6,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,1.800000,True,1.800000,1.800000,True,True,OK,0,False,7.663988,clip_budget,False,True,recover,gate clip budget exceeded (11),1,0,11,1.123121,retreat,369355679966200,-0.011667,-0.796524,0.791716,0.000000,0,1.919884,0.000000,0.460006
R1b,20260722T035929-raceprep-r1b-B-run6,B,6,20260722T035907-af44e079,e8f46a9,07ef0e90b8346f3c443a3a1932e70f830a62b783,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,1.800000,1.800000,False,False,OK,0,False,12.275985,collision,True,False,recover,environment collision (impulse=4.2),1,19,6,0.998778,retreat,369427278018300,0.292578,-0.507755,0.808790,0.899970,1,2.359876,0.000000,0.059953
R1b,20260722T040042-raceprep-r1b-A-run7,A,7,20260722T040023-49b2dfca,e8f46a9,f0212f914bb077692dc5d597a85a64d96f8022b2,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,1.800000,True,1.800000,1.800000,True,True,OK,0,False,9.372193,collision,True,False,commit,environment collision (impulse=1.2),1,1,0,2.168258,commit,369502652807500,0.012205,-0.073004,2.166994,0.100012,1,1.094006,1.739871,0.000000
R1b,20260722T040157-raceprep-r1b-B-run8,B,8,20260722T040136-af44e079,e8f46a9,0fa529c3d36f863ff27783d304644367b2a333bc,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,1.800000,1.800000,False,False,OK,0,False,11.603994,collision,True,False,search,environment collision (impulse=8.6),1,1,0,2.070090,commit,369577257312300,-0.836054,-0.531752,1.817561,0.000000,0,3.320051,1.039877,1.999848
R1b,20260722T040309-raceprep-r1b-A-run9,A,9,20260722T040251-49b2dfca,e8f46a9,027bc0de7e31ef00d1d5a5fd202d14b0de87b7e2,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,1.800000,True,1.800000,1.800000,True,True,OK,0,False,9.235306,collision,True,False,retreat,environment collision (impulse=3.5),1,1,0,0.678547,commit,369650111871500,0.019079,-0.233595,0.636785,0.000000,0,2.360046,0.399929,1.777075
R1b,20260722T040441-raceprep-r1b-B-run10,B,10,20260722T040403-af44e079,e8f46a9,17802d6d58a5dea69fb6b6c3d2e2400821622dda,8f260b087e2c3329ba95c22d0c72bf3904ea6799,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,1.800000,1.800000,False,False,OK,0,False,27.956006,collision,True,False,approach,environment collision (impulse=1.2),1,3,0,0.649515,retreat,369732470620800,0.056386,-0.199830,0.615434,4.118461,4,5.599668,2.060093,4.000151
